,RunId,iteration,Step,outcome_collection,watch_shift,communication_timing,media_weight_trust,media_weight_perc,RA_base,phase_0,phase_1,phase_2,evac_agents,average_evac_time,hotel_choice,friends_choice,shelter_choice,stay_choice
94,9,9,6,SingleRun,24,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
95,9,9,7,SingleRun,24,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
96,9,9,8,SingleRun,24,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
97,9,9,9,SingleRun,24,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
98,9,9,10,SingleRun,24,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
99,9,9,11,SingleRun,24,12,0.04,0.2,0.75,956,44,0,0,0.0,0,0,0,0
100,9,9,12,SingleRun,24,12,0.04,0.2,0.75,936,64,0,0,0.0,0,0,0,0
101,9,9,13,SingleRun,24,12,0.04,0.2,0.75,501,496,3,0,0.0,0,0,0,0
102,9,9,14,SingleRun,24,12,0.04,0.2,0.75,277,704,19,0,0.0,0,0,0,0
103,9,9,15,SingleRun,24,12,0.04,0.2,0.75,185,773,42,0,0.0,0,0,0,0
104,9,9,16,SingleRun,24,12,0.04,0.2,0.75,149,800,51,0,0.0,0,0,0,0
105,9,9,17,SingleRun,24,12,0.04,0.2,0.75,130,813,57,0,0.0,0,0,0,0
106,9,9,18,SingleRun,24,12,0.04,0.2,0.75,116,820,64,0,0.0,0,0,0,0
107,9,9,19,SingleRun,24,12,0.04,0.2,0.75,108,822,70,8,0.0,3,3,1,1
108,9,9,20,SingleRun,24,12,0.04,0.2,0.75,58,844,90,4,0.0,4,6,1,1
109,9,9,21,SingleRun,24,12,0.04,0.2,0.75,30,848,110,9,0.0,6,11,2,2
110,9,9,22,SingleRun,24,12,0.04,0.2,0.75,14,818,147,14,0.0,9,18,5,3
111,9,9,23,SingleRun,24,12,0.04,0.2,0.75,9,791,165,23,0.0,18,29,7,4
112,9,9,24,SingleRun,24,12,0.04,0.2,0.75,9,783,150,9,0.0,20,34,8,5
113,9,9,25,SingleRun,24,12,0.04,0.2,0.75,2,700,231,25,0.0,26,47,11,8
114,9,9,26,SingleRun,24,12,0.04,0.2,0.75,2,667,239,25,0.0,30,59,14,14
115,9,9,27,SingleRun,24,12,0.04,0.2,0.75,2,664,217,22,0.0,38,64,18,19
116,9,9,28,SingleRun,24,12,0.04,0.2,0.75,2,658,201,18,0.0,45,68,21,23
117,9,9,29,SingleRun,24,12,0.04,0.2,0.75,1,657,185,22,0.0,49,79,22,29
118,9,9,30,SingleRun,24,12,0.04,0.2,0.75,1,657,163,11,0.0,52,87,22,29
119,9,9,31,SingleRun,24,12,0.04,0.2,0.75,1,654,155,22,0.0,62,93,24,33
120,9,9,32,SingleRun,24,12,0.04,0.2,0.75,1,654,133,13,0.0,66,101,25,33
121,9,9,33,SingleRun,24,12,0.04,0.2,0.75,1,653,121,8,0.0,69,104,25,35
122,9,9,34,SingleRun,24,12,0.04,0.2,0.75,1,645,121,13,0.0,74,110,26,36
123,9,9,35,SingleRun,24,12,0.04,0.2,0.75,1,644,109,9,0.0,75,116,27,37
124,9,9,36,SingleRun,24,12,0.04,0.2,0.75,1,622,122,16,0.0,81,121,28,41
125,9,9,37,SingleRun,24,12,0.04,0.2,0.75,0,595,134,20,0.0,86,130,28,47
126,9,9,38,SingleRun,24,12,0.04,0.2,0.75,0,587,122,14,0.0,91,137,29,48
127,9,9,39,SingleRun,24,12,0.04,0.2,0.75,0,587,108,13,0.0,93,143,29,53
128,9,9,40,SingleRun,24,12,0.04,0.2,0.75,0,586,96,16,0.0,100,149,29,56
129,9,9,41,SingleRun,24,12,0.04,0.2,0.75,0,585,81,11,0.0,100,155,30,60
130,9,9,42,SingleRun,24,12,0.04,0.2,0.75,0,585,70,12,0.0,105,160,30,62
131,9,9,43,SingleRun,24,12,0.04,0.2,0.75,0,553,90,9,0.0,108,161,31,66
132,9,9,44,SingleRun,24,12,0.04,0.2,0.75,0,544,90,17,0.0,111,168,33,71
133,9,9,45,SingleRun,24,12,0.04,0.2,0.75,0,537,80,10,0.0,113,171,34,75
134,9,9,46,SingleRun,24,12,0.04,0.2,0.75,0,525,82,11,0.0,113,179,34,78
135,9,9,47,SingleRun,24,12,0.04,0.2,0.75,0,487,109,18,0.0,115,185,35,87
136,9,9,48,SingleRun,24,12,0.04,0.2,0.75,0,477,101,19,0.0,122,191,35,93
137,9,9,49,SingleRun,24,12,0.04,0.2,0.75,0,350,209,43,0.0,131,203,37,113
138,9,9,50,SingleRun,24,12,0.04,0.2,0.75,0,344,172,33,0.0,141,214,38,124
139,9,9,51,SingleRun,24,12,0.04,0.2,0.75,0,344,139,22,0.0,146,222,40,131
140,9,9,52,SingleRun,24,12,0.04,0.2,0.75,0,344,117,32,0.0,157,234,40,140
141,9,9,53,SingleRun,24,12,0.04,0.2,0.75,0,344,85,11,0.0,163,237,40,142
142,9,9,54,SingleRun,24,12,0.04,0.2,0.75,0,344,74,14,0.0,167,244,42,143
143,9,9,55,SingleRun,24,12,0.04,0.2,0.75,0,344,60,9,0.0,171,245,42,147
144,9,9,56,SingleRun,24,12,0.04,0.2,0.75,0,344,51,7,0.0,173,248,42,149
145,9,9,57,SingleRun,24,12,0.04,0.2,0.75,0,343,45,8,0.0,174,254,42,150
146,9,9,58,SingleRun,24,12,0.04,0.2,0.75,0,343,37,1,0.0,175,254,42,150
