,RunId,iteration,Step,outcome_collection,RA_base,ceiling,grow_factor,media_weight_trust,media_weight_perc,phase_change_factor,phase_0,phase_1,phase_2,evac_agents,average_evac_time,hotel_choice,friends_choice,shelter_choice,stay_choice
210,11,11,34,SingleRun,0.75,0.4,30,0.04,0.2,0.1,11,779,194,2,0.0,9,7,2,0
211,11,11,35,SingleRun,0.75,0.4,30,0.04,0.2,0.1,11,778,193,0,0.0,9,7,2,0
212,11,11,36,SingleRun,0.75,0.4,30,0.04,0.2,0.1,8,771,203,4,0.0,10,9,3,0
213,11,11,37,SingleRun,0.75,0.4,30,0.04,0.2,0.1,7,753,218,4,0.0,11,11,3,1
214,11,11,38,SingleRun,0.75,0.4,30,0.04,0.2,0.1,7,748,219,2,0.0,11,13,3,1
215,11,11,39,SingleRun,0.75,0.4,30,0.04,0.2,0.1,6,749,217,1,0.0,11,13,4,1
216,11,11,40,SingleRun,0.75,0.4,30,0.04,0.2,0.1,5,745,221,5,0.0,12,17,4,1
217,11,11,41,SingleRun,0.75,0.4,30,0.04,0.2,0.1,5,741,220,3,0.0,13,19,4,1
218,11,11,42,SingleRun,0.75,0.4,30,0.04,0.2,0.1,5,741,217,5,0.0,14,20,4,4
219,11,11,43,SingleRun,0.75,0.4,30,0.04,0.2,0.1,2,723,233,4,0.0,15,21,6,4
220,11,11,44,SingleRun,0.75,0.4,30,0.04,0.2,0.1,2,713,239,3,0.0,15,23,6,5
221,11,11,45,SingleRun,0.75,0.4,30,0.04,0.2,0.1,2,699,250,3,0.0,15,25,7,5
222,11,11,46,SingleRun,0.75,0.4,30,0.04,0.2,0.1,2,686,260,3,0.0,16,27,7,5
223,11,11,47,SingleRun,0.75,0.4,30,0.04,0.2,0.1,2,644,299,2,0.0,16,29,7,5
224,11,11,48,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,632,311,6,0.0,18,30,8,7
225,11,11,49,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,618,319,4,0.0,19,33,8,7
226,11,11,50,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,618,315,11,0.0,23,37,8,10
227,11,11,51,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,618,304,10,0.0,25,41,8,14
228,11,11,52,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,618,294,7,0.0,27,43,9,16
229,11,11,53,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,618,287,21,0.0,33,51,10,22
230,11,11,54,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,618,266,19,0.0,42,57,11,25
231,11,11,55,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,617,248,28,0.0,52,67,12,32
232,11,11,56,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,590,247,25,0.0,60,77,14,37
233,11,11,57,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,576,236,29,0.0,70,89,15,43
234,11,11,58,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,539,244,37,0.0,83,103,18,50
235,11,11,59,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,534,212,26,0.0,89,115,19,57
236,11,11,60,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,533,187,33,0.0,101,132,19,61
237,11,11,61,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,435,252,52,0.0,120,154,22,69
238,11,11,62,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,419,216,47,0.0,133,170,26,83
239,11,11,63,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,417,171,41,0.0,144,191,30,88
240,11,11,64,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,417,130,33,0.0,154,201,34,97
241,11,11,65,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,417,97,22,0.0,159,211,35,103
242,11,11,66,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,417,75,16,0.0,162,219,37,106
