,MD1,MD2,MD3,MD4,MD5,MD6,MD7,MD8,MD9,MD10
187,6,100,6,12,100,0.0,0.0,0.0,0.0,0.0
188,3,2,2,2,12,0.75,0.75,1.0,0.5,0.25
189,2,6,2,3,12,0.0,0.75,0.5,0.75,0.75
190,2,3,2,100,100,1.0,0.25,1.0,0.75,0.25
191,100,12,3,3,12,0.75,0.5,0.25,1.0,0.5
192,12,12,3,2,100,0.5,0.25,0.5,0.25,0.0
193,2,2,2,2,100,0.5,0.75,0.75,1.0,0.25
194,100,2,12,2,100,0.0,0.5,1.0,1.0,0.0
195,3,2,2,2,6,0.5,1.0,1.0,1.0,0.25
196,3,2,2,2,6,0.5,0.75,0.75,0.75,0.5
197,2,2,2,2,100,0.5,1.0,1.0,1.0,0.25
198,2,12,2,3,100,0.75,0.25,0.75,0.75,0.25
199,2,2,2,2,2,0.75,1.0,0.75,1.0,0.75
200,2,3,2,2,3,0.75,0.75,0.75,0.75,0.75
201,6,3,3,2,6,0.75,0.75,0.75,0.75,0.5
202,6,3,3,3,100,0.25,0.5,0.5,0.5,0.0
203,2,100,3,3,100,0.75,0.25,0.5,0.5,0.0
204,100,2,100,2,12,0.0,1.0,0.5,1.0,1.0
205,3,6,3,3,6,0.0,0.25,0.25,0.5,0.5
206,2,2,2,2,2,0.75,1.0,0.75,1.0,1.0
207,2,12,2,12,6,1.0,1.0,1.0,1.0,1.0
208,2,6,2,3,6,0.75,0.75,0.75,0.75,0.75
209,6,12,12,100,12,0.25,0.5,0.25,0.5,0.5
210,2,2,2,2,2,1.0,1.0,1.0,1.0,1.0
211,3,2,2,2,2,1.0,0.75,1.0,0.75,1.0
212,2,2,2,2,3,1.0,0.75,1.0,1.0,1.0
213,2,100,2,2,100,0.5,0.5,0.75,0.75,0.25
214,3,12,3,2,3,0.75,0.5,0.75,0.75,1.0
215,2,2,2,2,2,1.0,1.0,1.0,1.0,1.0
216,3,6,3,2,100,0.25,0.5,1.0,1.0,0.0
217,2,6,2,12,6,0.75,0.25,1.0,0.5,0.0
218,3,2,2,2,100,0.5,0.75,0.75,0.75,0.5
219,12,2,2,2,6,0.25,0.5,0.75,1.0,1.0
220,2,2,2,2,12,0.5,1.0,1.0,1.0,1.0
221,100,100,2,2,12,0.0,0.75,0.75,0.75,0.75
222,3,6,2,2,100,0.75,0.75,1.0,1.0,0.0
223,6,12,6,6,100,0.5,0.5,0.5,0.75,0.5
224,3,6,3,6,100,0.5,0.5,0.5,0.5,0.5
225,100,100,100,6,100,0.0,0.5,0.25,0.5,0.5
226,2,12,2,2,12,0.5,0.5,0.75,1.0,0.25
227,100,3,6,6,100,0.0,0.5,0.75,0.5,0.0
