,RA,EI,ECB
219,-0.3403716319147098,0.9605979972096103,0.943772892747128
220,0.353798850780902,1.0,0.5381977122887067
221,0.5000000000000003,0.6067694386104215,0.3875457854942559
222,0.6765135387042868,0.9562965871865186,0.8875457854942558
223,0.13962179595692925,0.7062965871865184,0.6937728927471278
224,9.71445146547012e-17,0.65653301289847,0.49999999999999994
226,-0.5005344070007445,0.7118412909588282,0.8313186782413838
228,0.5000000000000003,0.2499999999999999,0.6375457854942559
230,0.5000000000000003,0.7062965871865184,0.7499999999999999
231,9.71445146547012e-17,1.0,0.7499999999999999
232,9.71445146547012e-17,0.7385940128339822,0.48689385869980506
233,-0.08596224050472637,1.0,0.2881977122887067
234,0.12000109408457327,0.8507398597305847,0.9999999999999999
235,-0.09486269361662464,0.6274925816057388,0.7499999999999999
236,0.17168973232083218,0.7615742826521464,0.905575180458421
237,0.08394079896712126,0.6608344229215617,0.7499999999999999
238,0.3532644437801573,0.8611014312282435,0.7549232536639702
239,-0.41605920103287874,0.8391655770784383,0.5381977122887067
240,-0.31717300269243515,0.8446796982560179,0.943772892747128
244,-0.3237835019248741,0.5000000000000001,0.25
245,-0.573100574609549,0.873191171582647,0.6937728927471278
246,0.6833302583380397,0.9605979972096103,0.3875457854942559
247,-0.42636501838970586,0.90653301289847,0.443772892747128
248,0.353798850780902,0.8173980184147619,0.4006519267944508
249,0.3250046418028442,0.7894020027903899,0.7881977122887067
250,9.71445146547012e-17,0.5000000000000001,0.25
251,0.19363607569486707,0.7282324413363236,0.9999999999999999
253,-0.15757578057741473,0.8888985687717567,0.7499999999999999
254,-0.27962946216986323,0.7676344441267133,0.5944248195415788
256,0.5968336108325687,0.678468867048275,0.4819706050358348
257,-0.06907706988572998,1.0,0.6937728927471278
259,0.43211292402197,0.8611014312282435,0.8875457854942558
261,0.2065288875603144,1.0,0.8444248195415787
263,-0.15704137357667008,0.6487752651618882,0.24507674633602966
264,0.19294934281764192,0.9168945843961287,0.543120965952677
265,0.5000000000000003,0.9108344229215618,0.7499999999999999
267,-0.16591068071829834,0.7396384285023414,0.5944248195415788
268,1.0,0.9502364257119515,0.9999999999999999
269,-0.32295205429496865,1.0,0.7881977122887067
270,0.01795398462048596,0.8173980184147619,0.4819706050358348
271,-0.7390112553278476,1.0,0.9999999999999999
273,0.015983067404542264,0.90653301289847,0.4819706050358348
274,0.19941512729740063,0.9211959944192204,0.6757434977829627
275,9.71445146547012e-17,0.5000000000000001,0.443772892747128
276,-0.8250046418028438,0.9168945843961287,0.7881977122887067
277,0.2672710573051609,0.5000000000000001,0.4819706050358348
279,-0.5000000000000001,1.0,0.849348073205549
280,0.015901397112610655,0.8671310101080802,0.4819706050358348
281,0.10703762663457718,0.6444432725440663,0.2881977122887067
282,-0.24106384283572285,0.7062965871865184,0.5944248195415788
284,0.353798850780902,0.8888985687717567,0.7499999999999999
285,0.7306763551869642,1.0,0.943772892747128
286,0.5000000000000003,0.75,0.6937728927471278
287,9.71445146547012e-17,0.6608344229215617,0.581318678241384
288,-0.573100574609549,1.0,0.9999999999999999
289,0.2032551601744693,1.0,0.5763954245774137
290,0.7672710573051611,0.7937034128134817,0.943772892747128
292,0.07310057460954927,0.75,0.49999999999999994
293,-0.5000000000000001,0.90653301289847,0.7499999999999999
294,-0.1459041085899373,0.0,0.5944248195415788
298,0.5013658546306505,0.5000000000000001,0.6888496390831577
300,0.2065288875603144,1.0,0.581318678241384
301,0.01741957761974129,0.7062965871865184,0.9999999999999999
302,-0.2713484565538132,1.0,0.9999999999999999
303,0.49848181949286957,0.8949587302463236,0.7499999999999999
304,-0.07310057460954897,0.7282324413363236,0.8444248195415787
306,9.71445146547012e-17,0.7676344441267133,0.3826225318302856
307,-0.15498878606879474,0.7062965871865184,0.581318678241384
309,0.09105455923003507,0.5000000000000001,0.5513038535889017
310,-0.8424242194225853,0.9004728514239031,0.849348073205549
312,9.71445146547012e-17,0.9168945843961287,0.5993480732055491
314,0.15909396108454568,0.5716994284378536,0.25
316,-0.09486269361662464,0.9605979972096103,0.5944248195415788
317,-0.2198361308293919,0.7736640230065501,0.49999999999999994
318,0.11303204857433985,0.7002364257119515,0.3444248195415789
319,0.2065288875603144,0.6274925816057388,0.6375457854942559
321,0.07363498161029394,0.6388985687717565,0.6506519267944507
322,-0.42636501838970586,0.9168945843961287,0.7499999999999999
323,0.5000000000000003,0.75,0.6937728927471278
325,-0.3955493678740428,0.7676038615319832,0.581318678241384
326,1.0,0.6750125293347851,0.8313186782413838
328,0.3154486017839908,1.0,0.19377289274712806
329,-0.14346182883399766,0.8671310101080802,0.7499999999999999
331,-0.5000000000000001,0.9562965871865186,0.7499999999999999
332,9.71445146547012e-17,0.5000000000000001,0.49999999999999994
333,-0.5000000000000001,1.0,0.7499999999999999
334,0.23067635518696417,1.0,0.6375457854942559
335,-0.5000000000000001,1.0,0.8313186782413838
336,0.5000000000000003,0.6111014312282435,0.49999999999999994
337,-0.07280353398038816,0.6942068468321149,0.2881977122887067
338,-0.5000000000000001,0.8671310101080802,0.849348073205549
339,-0.10817709622061505,0.6541516734480693,0.6986961464110981
340,-0.3068671853356078,0.6493978531608138,0.293120965952677
341,0.3532644437801573,0.6711959944192204,0.581318678241384
342,-0.20119541333168095,1.0,0.49999999999999994
347,0.7065288875603146,0.8337891687922573,0.9999999999999999
348,0.14346182883399794,0.684529028522842,0.40557518045842106
350,-0.08599338647499633,0.6492601402694153,0.49999999999999994
351,-1.0,0.9211959944192204,0.9999999999999999
352,1.0,1.0,0.9999999999999999
